city_name,description,why_visit,whats_included,whats_not_included,restrictions,additional_info,location
SUMMIT One Vanderbilt Tickets,"With this ticket to the Summit One Vanderbilt, you’ll see futuristic digital shows inside one of New York’s newest skyscrapers. You’ll also take in views of Manhattan from a height of 370 metres.  As you explore three levels of multi-sensory galleries inside the skyscraper, you’ll see digital art installations by internationally acclaimed artists and designers. You’ll see works inspired by stories, optical illusions and interactivity. You’ll also see the busy streets below the building during the ‘Levitation’ experience, which involves standing on a transparent platform over 300 metres above the ground.  When you reach the SUMMIT Terrace, you can see New York’s skyline and views for up to 80 miles. You can also order cocktails and light fare from Café Après.","['Three floors of multi-sensory immersive experiences at the top of a skyscraper', 'Panoramic views of New York and landmarks like the Empire State Building', 'Futuristic observation deck that combines elements of art and technology']","['Admission', 'Levitation experience']","['Ascent experience', 'Food and drinks']",['Comfortable footwear is recommended.'],"['Children aged 0–5 years can join for free.\rPlease note that some rooms and installations have mirrored floors. Please dress comfortably and in accordance with the tour. Trousers, shorts or tights are recommended. Sunglasses are recommended for day visits. Note that stiletto heels, steel-toe boots and any footwear that could cause damage to the mirrored floors are not allowed on this tour.\rPlease note that there is no storage for personal items. Large bags, large backpacks and luggage are not permitted on this tour.\rProfessional photographs are available to purchase in print and digital format at the end of the experience.\rPlease bring your ticket with you to the attraction.\rShow more', 'Show more']","SUMMIT One Vanderbilt Tickets45 East 42nd Street, New York, NYPlease arrive at Summit One Vanderbilt. The entrance is located on the Main Concourse of Grand Central Terminal."
9/11 Memorial & Museum Admission,"This ticket will give you admission to the 9/11 Memorial & Museum. While there, you'll be able to explore a collection of artefacts, archives and multimedia displays related to the events of 9/11. You will also have the opportunity to see the last visible remains of the Vesey Street staircase, known as the 'Survivors' Staircase'.  Additionally, you will be able to visit the Memorial Plaza pools, which were built where the World Trade Center once stood.","['Self-guided tour of 9/11 Memorial & Museum', 'Chance to explore exhibits about the 9/11 tragedy', 'Opportunity to visit the pools at Memorial Plaza']",['Admission '],,[],"['4.8 · Exceptional(1052 reviews)See all reviews', '4.8 · Exceptional(1052 reviews)See all reviews', '4.8 · Exceptional(1052 reviews)', 'Good value4.7Facilities4.8Quality of service4.7Ease of access4.8', 'Good value4.7Facilities4.8Quality of service4.7Ease of access4.8', 'Good value4.7', 'Good value4.7', 'Good value', 'Good value', '4.7', '4.7', '', 'Facilities4.8', 'Facilities4.8', 'Facilities', 'Facilities', '4.8', '4.8', '', 'Quality of service4.7', 'Quality of service4.7', 'Quality of service', 'Quality of service', '4.7', '4.7', '', 'Ease of access4.8', 'Ease of access4.8', 'Ease of access', 'Ease of access', '4.8', '4.8', '']","9/11 Memorial & Museum Admission180 Greenwich Street, New York, 10007"
New York CityPASS,"With this New York City Pass, you’ll be able to explore the city’s main sights at your own pace. It is valid for nine consecutive days, so you can plan your itinerary at your convenience.  The pass will include access to the Empire State Building and the American Museum of Natural History. You can also choose between a number of other attractions, including the Guggenheim, Ellis Island and the 9/11 Memorial and Museum.","['Visits to the Empire State Building, museums and more', 'Chance to save money and time and focus on the sights', 'Variety of attractions to choose from over a nine-day period']",['Admission to attractions specified'],,['Visitors must show a valid photo ID.'],"['The City Pass is valid for nine consecutive days (including the first day it is used). Tickets must be used within one year of the purchase date.\rPlease note that adults may be required present a form of ID at attractions.\rSome attractions may require visitors to pass through security checkpoints. Please check entry instructions prior to arrival. \rIf members of your group would like to visit attractions separately, please ensure each group member has a ticket with their name on it.\rThe City Pass includes admission to the Empire State Building and the American Museum of Natural History, plus admission to three of the following attractions: \rShow more', 'Show more']","New York CityPASSNew York, NY, 10036"
One-hour Sightseeing Yacht Cruise,"On this one-hour, guided sightseeing cruise, you’ll get to view popular New York landmarks with live commentary on board. You’ll go on board the Majestic Princess yacht, where you can relax on the spacious outdoor decks, or take in views of the New York skyline from the windows, indoors.  As you cruise along the East River, you can listen to live commentary about New York’s attractions. You’ll also get a chance to take a photograph with the Statue of Liberty, from a distance of 100 feet. Additionally, you’ll get to view the Freedom Tower, Brooklyn Bridge, Manhattan Bridge, Governors Island, Battery Park, and Ellis Island.",[],['Guide services'],"['Food and drinks', 'Photograph with Statue of Liberty']",['Suitable for all fitness levels'],"['English (US)', 'English (US)', 'English (US)']","Departure pointPier 36 New York - Van Gogh Exhibit, South St 299, Manhattan, New York, NY, 10002"
SUMMIT One Vanderbilt Ticket,"With this ticket to SUMMIT One Vanderbilt, you'll get the opportunity to go on an immersive multisensory experience in New York City. On the way, you'll gain a new perspective of the cultural scene in the city, with sweeping views over Manhattan.   You'll also be able to explore three different experiences atop Midtown Manhattan's tallest commercial skyscraper building. Additionally, you'll have a chance to see a blending of technology and art in the form of an observation deck.",[],['Admission to SUMMIT One Vanderbilt'],['Admission to the Ascent'],['Suitable for all fitness levels'],"['Children aged 0-5 years can join for free. \rA reduced-price ticket is available for children only when they are accompanied by one adult participant with a regular ticket.\rPlease dress comfortably and in accordance with the activity.\rPlease wear comfortable footwear.\rPlease note that all visitors are required to undergo a non-invasive security check before entering the venue. You can request to be searched by an officer of the same sex.\rShow more', 'Show more']","Departure pointSUMMIT One Vanderbilt, 45 E 42nd St, New York City, NY, 10017-5408This tour starts at the entrance on the Main Concourse of the Grand Central Terminal."
New York City Statue of Liberty Super Express Cruise,"The Liberty Super Express is a 50-minute round-trip sightseeing cruise that sails near the Statue of Liberty and back,. This tour is narrated by tour guides so travelers enjoy fun, onboard entertainment. The tour is the fastest way to get up close to Lady Liberty and back in all of New York City, so you can get great photos with an NYC landmark.",[],['50-minute cruise'],['This cruise does not let passengers off at the Statue of Liberty or Ellis Island.'],[],[''],"Departure point89 South St, South St 89, Manhattan, New York, 10038Pier 16, 89 South Street. Look for our blue Circle Line ticket booth at the entrance to Pier 16. Please use Pier 16, 89 South Street as the address."
Empire State Building Observatory,"With this ticket, you can visit the Empire State Building's Observatory as well as its exhibition spaces. From the viewing point on the 86th floor, you'll take in a sweeping, 360-degree panorama over New York. On the 2nd and 80th floors, you'll find interactive and artistic exhibits, featuring details of the skyscraper's construction including the original floor plans, sustainability insights, cinematic highlights and more. You can also travel all the way to the 102nd floor to see the view through floor-to-ceiling windows.","['360-degree unobstructed views of New York from above', ""A look at the tower's rich history and art deco beauty"", ""Exhibits revealing the tower's engineering and art""]","['Admission to the observatory and museum', 'Downloadable app']",,[],"['5 · Exceptional(7 reviews)See all reviews', '5 · Exceptional(7 reviews)See all reviews', '5 · Exceptional(7 reviews)', 'Good value4.8Facilities4.8Quality of service4.8Ease of access4.8', 'Good value4.8Facilities4.8Quality of service4.8Ease of access4.8', 'Good value4.8', 'Good value4.8', 'Good value', 'Good value', '4.8', '4.8', '', 'Facilities4.8', 'Facilities4.8', 'Facilities', 'Facilities', '4.8', '4.8', '', 'Quality of service4.8', 'Quality of service4.8', 'Quality of service', 'Quality of service', '4.8', '4.8', '', 'Ease of access4.8', 'Ease of access4.8', 'Ease of access', 'Ease of access', '4.8', '4.8', '']","Empire State Building ObservatoryEmpire State Building, 20 West 34th Street, New York, NY, 10001Head to the venue and begin your visit."
Top of the Rock Admission,"This ticket will provide you with admission to the Top of The Rock Observation Deck, located at the Rockefeller Center. During your visit, you'll be able to explore three levels of indoor and outdoor observation decks and admire panoramic views of the New York City Skyline. Some of the landmarks you'll be able to see include Central Park, the Empire State Building, One World Trade Center and Lower Manhattan.","[""Chance to view some of New York's most famous landmarks"", 'Three-floor observation deck with multiple viewing areas', 'Access to the 70th floor for an open-air viewing experience', 'Opportunity to experience 360-degree views of the NY skyline']",['Digital admission ticket'],,[],"['3.9 · Good(152 reviews)See all reviews', '3.9 · Good(152 reviews)See all reviews', '3.9 · Good(152 reviews)', 'Good value4.0Facilities4.0Quality of service3.8Ease of access4.1', 'Good value4.0Facilities4.0Quality of service3.8Ease of access4.1', 'Good value4.0', 'Good value4.0', 'Good value', 'Good value', '4.0', '4.0', '', 'Facilities4.0', 'Facilities4.0', 'Facilities', 'Facilities', '4.0', '4.0', '', 'Quality of service3.8', 'Quality of service3.8', 'Quality of service', 'Quality of service', '3.8', '3.8', '', 'Ease of access4.1', 'Ease of access4.1', 'Ease of access', 'Ease of access', '4.1', '4.1', '']","Top of the Rock Admission30 Rockefeller Plaza, New York, NY, 10112Please arrive at the main entrance, located at West 50th Street (between 5th and 6th Avenues), marked by a red carpet across from Radio City Music Hall."
Admission to The Museum of Modern Art,"This ticket will grant you skip-the-line access to The Museum of Modern Art, also known as MoMA. Here, you can admire some of the world's most famous works of contemporary and modern art. You'll have the chance to see works such as Vincent van Gogh’s 'The Starry Night', Andy Warhol’s 'Gold Marilyn Monroe' and more. In addition, you'll be able to browse collections of photography, architecture, film and performing art. Inside the museum, you'll find shops and restaurants to complete your visit.","[""Skip-the-line access to New York's notable art museum"", 'Masterpieces of modern art by many famous artists', ""'The Starry Night' by Vincent van Gogh and other works""]","['The Museum of Modern Art – fast-track admission', 'Audio guide', 'Guide services', 'Daily gallery talks and tours', 'Admission to film screenings', 'WiFi access and charging stations']",,[],"['4.6 · Fabulous(499 reviews)See all reviews', '4.6 · Fabulous(499 reviews)See all reviews', '4.6 · Fabulous(499 reviews)', 'Good value4.4Facilities4.5Quality of service4.3Ease of access4.6', 'Good value4.4Facilities4.5Quality of service4.3Ease of access4.6', 'Good value4.4', 'Good value4.4', 'Good value', 'Good value', '4.4', '4.4', '', 'Facilities4.5', 'Facilities4.5', 'Facilities', 'Facilities', '4.5', '4.5', '', 'Quality of service4.3', 'Quality of service4.3', 'Quality of service', 'Quality of service', '4.3', '4.3', '', 'Ease of access4.6', 'Ease of access4.6', 'Ease of access', 'Ease of access', '4.6', '4.6', '']","Admission to The Museum of Modern ArtMoMA: 11 West 53rd St, New York, NY, 10019Arrive at the museum's main entrance, located at 11 West 53rd Street. 

Please arrive during the 30-minute window of your timed ticket."
American Museum of Natural History,,,,,,,
